"year","round","series","tmIDWinner","lgIDWinner","tmIDLoser","lgIDLoser","W","L"
"1973","CF","N","BOS","NBA","NYK","NBA","4","1"
"1973","CSF","M","BOS","NBA","BUF","NBA","4","2"
"1973","CSF","M","NYK","NBA","CAP","NBA","4","3"
"1973","F","O","BOS","NBA","MIL","NBA","4","3"
"1973","CF","N","MIL","NBA","CHI","NBA","4","0"
"1973","CSF","M","MIL","NBA","LAL","NBA","4","1"
"1973","CSF","M","CHI","NBA","DET","NBA","4","3"
"1974","CF","N","WSB","NBA","BOS","NBA","4","2"
"1974","CFR","L","HOU","NBA","NYK","NBA","2","1"
"1974","CSF","M","BOS","NBA","HOU","NBA","4","1"
"1974","CSF","M","WSB","NBA","BUF","NBA","4","3"
"1974","F","O","GSW","NBA","WSB","NBA","4","0"
"1974","CF","N","GSW","NBA","CHI","NBA","4","3"
"1974","CFR","L","SEA","NBA","DET","NBA","2","1"
"1974","CSF","M","CHI","NBA","KCO","NBA","4","2"
"1974","CSF","M","GSW","NBA","SEA","NBA","4","2"
"1975","CF","N","BOS","NBA","CLE","NBA","4","2"
"1975","CFR","L","BUF","NBA","PHI","NBA","2","1"
"1975","CSF","M","BOS","NBA","BUF","NBA","4","2"
"1975","CSF","M","CLE","NBA","WSB","NBA","4","3"
"1975","F","O","BOS","NBA","PHO","NBA","4","2"
"1975","CF","N","PHO","NBA","GSW","NBA","4","3"
"1975","CFR","L","DET","NBA","MIL","NBA","2","1"
"1975","CSF","M","GSW","NBA","DET","NBA","4","2"
"1975","CSF","M","PHO","NBA","SEA","NBA","4","2"
"1976","CF","N","PHI","NBA","HOU","NBA","4","2"
"1976","CFR","L","BOS","NBA","SAS","NBA","2","0"
"1976","CFR","L","WSB","NBA","CLE","NBA","2","1"
"1976","CSF","M","HOU","NBA","WSB","NBA","4","2"
"1976","CSF","M","PHI","NBA","BOS","NBA","4","3"
"1976","F","O","POR","NBA","PHI","NBA","4","2"
"1976","CF","N","POR","NBA","LAL","NBA","4","0"
"1976","CFR","L","GSW","NBA","DET","NBA","2","1"
"1976","CFR","L","POR","NBA","CHI","NBA","2","1"
"1976","CSF","M","POR","NBA","DEN","NBA","4","2"
"1976","CSF","M","LAL","NBA","GSW","NBA","4","3"
"1977","CF","N","WSB","NBA","PHI","NBA","4","2"
"1977","CFR","L","NYK","NBA","CLE","NBA","2","0"
"1977","CFR","L","WSB","NBA","ATL","NBA","2","0"
"1977","CSF","M","PHI","NBA","NYK","NBA","4","0"
"1977","CSF","M","WSB","NBA","SAS","NBA","4","2"
"1977","F","O","WSB","NBA","SEA","NBA","4","3"
"1977","CF","N","SEA","NBA","DEN","NBA","4","2"
"1977","CFR","L","MIL","NBA","PHO","NBA","2","0"
"1977","CFR","L","SEA","NBA","LAL","NBA","2","1"
"1977","CSF","M","SEA","NBA","POR","NBA","4","2"
"1977","CSF","M","DEN","NBA","MIL","NBA","4","3"
"1978","CF","N","WSB","NBA","SAS","NBA","4","3"
"1978","CFR","L","ATL","NBA","HOU","NBA","2","0"
"1978","CFR","L","PHI","NBA","NJN","NBA","2","0"
"1978","CSF","M","SAS","NBA","PHI","NBA","4","3"
"1978","CSF","M","WSB","NBA","ATL","NBA","4","3"
"1978","F","O","SEA","NBA","WSB","NBA","4","1"
"1978","CF","N","SEA","NBA","PHO","NBA","4","3"
"1978","CFR","L","LAL","NBA","DEN","NBA","2","1"
"1978","CFR","L","PHO","NBA","POR","NBA","2","1"
"1978","CSF","M","PHO","NBA","KCK","NBA","4","1"
"1978","CSF","M","SEA","NBA","LAL","NBA","4","1"
"1979","CF","N","PHI","NBA","BOS","NBA","4","1"
"1979","CFR","L","PHI","NBA","WSB","NBA","2","0"
"1979","CFR","L","HOU","NBA","SAS","NBA","2","1"
"1979","CSF","M","BOS","NBA","HOU","NBA","4","0"
"1979","CSF","M","PHI","NBA","ATL","NBA","4","1"
"1979","F","O","LAL","NBA","PHI","NBA","4","2"
"1979","CF","N","LAL","NBA","SEA","NBA","4","1"
"1979","CFR","L","PHO","NBA","KCK","NBA","2","1"
"1979","CFR","L","SEA","NBA","POR","NBA","2","1"
"1979","CSF","M","LAL","NBA","PHO","NBA","4","1"
"1979","CSF","M","SEA","NBA","MIL","NBA","4","3"
"1980","CF","N","BOS","NBA","PHI","NBA","4","3"
"1980","CFR","L","CHI","NBA","NYK","NBA","2","0"
"1980","CFR","L","PHI","NBA","IND","NBA","2","0"
"1980","CSF","M","BOS","NBA","CHI","NBA","4","0"
"1980","CSF","M","PHI","NBA","MIL","NBA","4","3"
"1980","CF","N","HOU","NBA","KCK","NBA","4","1"
"1980","CFR","L","HOU","NBA","LAL","NBA","2","1"
"1980","CFR","L","KCK","NBA","POR","NBA","2","1"
"1980","CSF","M","HOU","NBA","SAS","NBA","4","3"
"1980","CSF","M","KCK","NBA","PHO","NBA","4","3"
"1981","CF","N","PHI","NBA","BOS","NBA","4","3"
"1981","CFR","L","PHI","NBA","ATL","NBA","2","0"
"1981","CFR","L","WSB","NBA","NJN","NBA","2","0"
"1981","CSF","M","BOS","NBA","WSB","NBA","4","1"
"1981","CSF","M","PHI","NBA","MIL","NBA","4","2"
"1981","F","O","LAL","NBA","PHI","NBA","4","2"
"1981","CF","N","LAL","NBA","SAS","NBA","4","0"
"1981","CFR","L","PHO","NBA","DEN","NBA","2","1"
"1981","CFR","L","SEA","NBA","HOU","NBA","2","1"
"1981","CSF","M","LAL","NBA","PHO","NBA","4","0"
"1981","CSF","M","SAS","NBA","SEA","NBA","4","1"
"1982","CF","N","PHI","NBA","MIL","NBA","4","1"
"1982","CFR","L","NYK","NBA","NJN","NBA","2","0"
"1982","CFR","L","BOS","NBA","ATL","NBA","2","1"
"1982","CSF","M","MIL","NBA","BOS","NBA","4","0"
"1982","CSF","M","PHI","NBA","NYK","NBA","4","0"
"1982","F","O","PHI","NBA","LAL","NBA","4","0"
"1982","CF","N","LAL","NBA","SAS","NBA","4","2"
"1982","CFR","L","POR","NBA","SEA","NBA","2","0"
"1982","CFR","L","DEN","NBA","PHO","NBA","2","1"
"1982","CSF","M","LAL","NBA","POR","NBA","4","1"
"1982","CSF","M","SAS","NBA","DEN","NBA","4","1"
"1983","CF","N","BOS","NBA","MIL","NBA","4","1"
"1983","CFR","L","BOS","NBA","WSB","NBA","3","1"
"1983","CFR","L","MIL","NBA","ATL","NBA","3","2"
"1983","CFR","L","NJN","NBA","PHI","NBA","3","2"
"1983","CFR","L","NYK","NBA","DET","NBA","3","2"
"1983","CSF","M","MIL","NBA","NJN","NBA","4","2"
"1983","CSF","M","BOS","NBA","NYK","NBA","4","3"
"1983","F","O","BOS","NBA","LAL","NBA","4","3"
"1983","CF","N","LAL","NBA","PHO","NBA","4","2"
"1983","CFR","L","LAL","NBA","KCK","NBA","3","0"
"1983","CFR","L","DAL","NBA","SEA","NBA","3","2"
"1983","CFR","L","PHO","NBA","POR","NBA","3","2"
"1983","CFR","L","UTA","NBA","DEN","NBA","3","2"
"1983","CSF","M","LAL","NBA","DAL","NBA","4","1"
"1983","CSF","M","PHO","NBA","UTA","NBA","4","2"
"1984","CF","N","BOS","NBA","PHI","NBA","4","1"
"1984","CFR","L","DET","NBA","NJN","NBA","3","0"
"1984","CFR","L","BOS","NBA","CLE","NBA","3","1"
"1984","CFR","L","MIL","NBA","CHI","NBA","3","1"
"1984","CFR","L","PHI","NBA","WSB","NBA","3","1"
"1984","CSF","M","PHI","NBA","MIL","NBA","4","0"
"1984","CSF","M","BOS","NBA","DET","NBA","4","2"
"1984","F","O","LAL","NBA","BOS","NBA","4","2"
"1984","CF","N","LAL","NBA","DEN","NBA","4","1"
"1984","CFR","L","LAL","NBA","PHO","NBA","3","0"
"1984","CFR","L","POR","NBA","DAL","NBA","3","1"
"1984","CFR","L","DEN","NBA","SAS","NBA","3","2"
"1984","CFR","L","UTA","NBA","HOU","NBA","3","2"
"1984","CSF","M","DEN","NBA","UTA","NBA","4","1"
"1984","CSF","M","LAL","NBA","POR","NBA","4","1"
"1985","CF","N","BOS","NBA","MIL","NBA","4","0"
"1985","CFR","L","BOS","NBA","CHI","NBA","3","0"
"1985","CFR","L","MIL","NBA","NJN","NBA","3","0"
"1985","CFR","L","ATL","NBA","DET","NBA","3","1"
"1985","CFR","L","PHI","NBA","WSB","NBA","3","2"
"1985","CSF","M","BOS","NBA","ATL","NBA","4","1"
"1985","CSF","M","MIL","NBA","PHI","NBA","4","3"
"1985","F","O","BOS","NBA","HOU","NBA","4","2"
"1985","CF","N","HOU","NBA","LAL","NBA","4","1"
"1985","CFR","L","HOU","NBA","SAC","NBA","3","0"
"1985","CFR","L","LAL","NBA","SAS","NBA","3","0"
"1985","CFR","L","DAL","NBA","UTA","NBA","3","1"
"1985","CFR","L","DEN","NBA","POR","NBA","3","1"
"1985","CSF","M","HOU","NBA","DEN","NBA","4","2"
"1985","CSF","M","LAL","NBA","DAL","NBA","4","2"
"1986","CF","N","BOS","NBA","DET","NBA","4","3"
"1986","CFR","L","BOS","NBA","CHI","NBA","3","0"
"1986","CFR","L","DET","NBA","WSB","NBA","3","0"
"1986","CFR","L","ATL","NBA","IND","NBA","3","1"
"1986","CFR","L","MIL","NBA","PHI","NBA","3","2"
"1986","CSF","M","DET","NBA","ATL","NBA","4","1"
"1986","CSF","M","BOS","NBA","MIL","NBA","4","3"
"1986","CF","N","LAL","NBA","SEA","NBA","4","0"
"1986","CFR","L","LAL","NBA","DEN","NBA","3","0"
"1986","CFR","L","HOU","NBA","POR","NBA","3","1"
"1986","CFR","L","SEA","NBA","DAL","NBA","3","1"
"1986","CFR","L","GSW","NBA","UTA","NBA","3","2"
"1986","CSF","M","LAL","NBA","GSW","NBA","4","1"
"1986","CSF","M","SEA","NBA","HOU","NBA","4","2"
"1987","CF","N","DET","NBA","BOS","NBA","4","2"
"1987","CFR","L","BOS","NBA","NYK","NBA","3","1"
"1987","CFR","L","ATL","NBA","MIL","NBA","3","2"
"1987","CFR","L","CHI","NBA","CLE","NBA","3","2"
"1987","CFR","L","DET","NBA","WSB","NBA","3","2"
"1987","CSF","M","DET","NBA","CHI","NBA","4","1"
"1987","CSF","M","BOS","NBA","ATL","NBA","4","3"
"1987","F","O","LAL","NBA","DET","NBA","4","3"
"1987","CF","N","LAL","NBA","DAL","NBA","4","3"
"1987","CFR","L","LAL","NBA","SAS","NBA","3","0"
"1987","CFR","L","DAL","NBA","HOU","NBA","3","1"
"1987","CFR","L","UTA","NBA","POR","NBA","3","1"
"1987","CFR","L","DEN","NBA","SEA","NBA","3","2"
"1987","CSF","M","DAL","NBA","DEN","NBA","4","2"
"1987","CSF","M","LAL","NBA","UTA","NBA","4","3"
"1988","CF","N","DET","NBA","CHI","NBA","4","2"
"1988","CFR","L","DET","NBA","BOS","NBA","3","0"
"1988","CFR","L","NYK","NBA","PHI","NBA","3","0"
"1988","CFR","L","CHI","NBA","CLE","NBA","3","2"
"1988","CFR","L","MIL","NBA","ATL","NBA","3","2"
"1988","CSF","M","DET","NBA","MIL","NBA","4","0"
"1988","CSF","M","CHI","NBA","NYK","NBA","4","2"
"1988","CF","N","LAL","NBA","PHO","NBA","4","0"
"1988","CFR","L","GSW","NBA","UTA","NBA","3","0"
"1988","CFR","L","LAL","NBA","POR","NBA","3","0"
"1988","CFR","L","PHO","NBA","DEN","NBA","3","0"
"1988","CFR","L","SEA","NBA","HOU","NBA","3","1"
"1988","CSF","M","LAL","NBA","SEA","NBA","4","0"
"1988","CSF","M","PHO","NBA","GSW","NBA","4","1"
"1989","CF","N","DET","NBA","CHI","NBA","4","3"
"1989","CFR","L","DET","NBA","IND","NBA","3","0"
"1989","CFR","L","CHI","NBA","MIL","NBA","3","1"
"1989","CFR","L","NYK","NBA","BOS","NBA","3","2"
"1989","CFR","L","PHI","NBA","CLE","NBA","3","2"
"1989","CSF","M","CHI","NBA","PHI","NBA","4","1"
"1989","CSF","M","DET","NBA","NYK","NBA","4","1"
"1989","F","O","DET","NBA","POR","NBA","4","1"
"1989","CF","N","POR","NBA","PHO","NBA","4","2"
"1989","CFR","L","POR","NBA","DAL","NBA","3","0"
"1989","CFR","L","SAS","NBA","DEN","NBA","3","0"
"1989","CFR","L","LAL","NBA","HOU","NBA","3","1"
"1989","CFR","L","PHO","NBA","UTA","NBA","3","2"
"1989","CSF","M","PHO","NBA","LAL","NBA","4","1"
"1989","CSF","M","POR","NBA","SAS","NBA","4","3"
"1990","CF","N","CHI","NBA","DET","NBA","4","0"
"1990","CFR","L","CHI","NBA","NYK","NBA","3","0"
"1990","CFR","L","PHI","NBA","MIL","NBA","3","0"
"1990","CFR","L","BOS","NBA","IND","NBA","3","2"
"1990","CFR","L","DET","NBA","ATL","NBA","3","2"
"1990","CSF","M","CHI","NBA","PHI","NBA","4","1"
"1990","CSF","M","DET","NBA","BOS","NBA","4","2"
"1990","F","O","CHI","NBA","LAL","NBA","4","1"
"1990","CF","N","LAL","NBA","POR","NBA","4","2"
"1990","CFR","L","LAL","NBA","HOU","NBA","3","0"
"1990","CFR","L","GSW","NBA","SAS","NBA","3","1"
"1990","CFR","L","UTA","NBA","PHO","NBA","3","1"
"1990","CFR","L","POR","NBA","SEA","NBA","3","2"
"1990","CSF","M","LAL","NBA","GSW","NBA","4","1"
"1990","CSF","M","POR","NBA","UTA","NBA","4","1"
"1991","CF","N","CHI","NBA","CLE","NBA","4","2"
"1991","CFR","L","BOS","NBA","IND","NBA","3","0"
"1991","CFR","L","CHI","NBA","MIA","NBA","3","0"
"1991","CFR","L","CLE","NBA","NJN","NBA","3","1"
"1991","CFR","L","NYK","NBA","DET","NBA","3","2"
"1991","CSF","M","CHI","NBA","NYK","NBA","4","3"
"1991","CSF","M","CLE","NBA","BOS","NBA","4","3"
"1991","F","O","CHI","NBA","POR","NBA","4","2"
"1991","CF","N","POR","NBA","UTA","NBA","4","2"
"1991","CFR","L","PHO","NBA","SAS","NBA","3","0"
"1991","CFR","L","POR","NBA","LAL","NBA","3","1"
"1991","CFR","L","SEA","NBA","GSW","NBA","3","1"
"1991","CFR","L","UTA","NBA","LAC","NBA","3","2"
"1991","CSF","M","POR","NBA","PHO","NBA","4","1"
"1991","CSF","M","UTA","NBA","SEA","NBA","4","1"
"1992","CF","N","CHI","NBA","NYK","NBA","4","2"
"1992","CFR","L","CHI","NBA","ATL","NBA","3","0"
"1992","CFR","L","CHH","NBA","BOS","NBA","3","1"
"1992","CFR","L","NYK","NBA","IND","NBA","3","1"
"1992","CFR","L","CLE","NBA","NJN","NBA","3","2"
"1992","CSF","M","CHI","NBA","CLE","NBA","4","0"
"1992","CSF","M","NYK","NBA","CHH","NBA","4","1"
"1992","F","O","CHI","NBA","PHO","NBA","4","2"
"1992","CF","N","PHO","NBA","SEA","NBA","4","3"
"1992","CFR","L","SAS","NBA","POR","NBA","3","1"
"1992","CFR","L","HOU","NBA","LAC","NBA","3","2"
"1992","CFR","L","PHO","NBA","LAL","NBA","3","2"
"1992","CFR","L","SEA","NBA","UTA","NBA","3","2"
"1992","CSF","M","PHO","NBA","SAS","NBA","4","2"
"1992","CSF","M","SEA","NBA","HOU","NBA","4","3"
"1993","CF","N","NYK","NBA","IND","NBA","4","3"
"1993","CFR","L","CHI","NBA","CLE","NBA","3","0"
"1993","CFR","L","IND","NBA","ORL","NBA","3","0"
"1993","CFR","L","NYK","NBA","NJN","NBA","3","1"
"1993","CFR","L","ATL","NBA","MIA","NBA","3","2"
"1993","CSF","M","IND","NBA","ATL","NBA","4","2"
"1993","CSF","M","NYK","NBA","CHI","NBA","4","3"
"1993","F","O","HOU","NBA","NYK","NBA","4","3"
"1993","CF","N","HOU","NBA","UTA","NBA","4","1"
"1993","CFR","L","PHO","NBA","GSW","NBA","3","0"
"1993","CFR","L","HOU","NBA","POR","NBA","3","1"
"1993","CFR","L","UTA","NBA","SAS","NBA","3","1"
"1993","CFR","L","DEN","NBA","SEA","NBA","3","2"
"1993","CSF","M","HOU","NBA","PHO","NBA","4","3"
"1993","CSF","M","UTA","NBA","DEN","NBA","4","3"
"1994","CF","N","ORL","NBA","IND","NBA","4","3"
"1994","CFR","L","IND","NBA","ATL","NBA","3","0"
"1994","CFR","L","CHI","NBA","CHH","NBA","3","1"
"1994","CFR","L","NYK","NBA","CLE","NBA","3","1"
"1994","CFR","L","ORL","NBA","BOS","NBA","3","1"
"1994","CSF","M","ORL","NBA","CHI","NBA","4","2"
"1994","CSF","M","IND","NBA","NYK","NBA","4","3"
"1994","F","O","HOU","NBA","ORL","NBA","4","0"
"1994","CF","N","HOU","NBA","SAS","NBA","4","2"
"1994","CFR","L","PHO","NBA","POR","NBA","3","0"
"1994","CFR","L","SAS","NBA","DEN","NBA","3","0"
"1994","CFR","L","LAL","NBA","SEA","NBA","3","1"
"1994","CFR","L","HOU","NBA","UTA","NBA","3","2"
"1994","CSF","M","SAS","NBA","LAL","NBA","4","2"
"1994","CSF","M","HOU","NBA","PHO","NBA","4","3"
"1995","CF","N","CHI","NBA","ORL","NBA","4","0"
"1995","CFR","L","CHI","NBA","MIA","NBA","3","0"
"1995","CFR","L","NYK","NBA","CLE","NBA","3","0"
"1995","CFR","L","ORL","NBA","DET","NBA","3","0"
"1995","CFR","L","ATL","NBA","IND","NBA","3","2"
